movie_id,year,certificate,runtime,director,star,rating
tt9114286,2022.0,PG-13,161 min,Ryan Coogler,"Letitia Wright, 
Lupita Nyong'o, 
Danai Gurira, 
Winston Duke",6.9
tt1630029,2022.0,PG-13,192 min,James Cameron,"Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Stephen Lang",7.8
tt6710474,2022.0,R,139 min,"Dan Kwan, 
Daniel Scheinert","Michelle Yeoh, 
Stephanie Hsu, 
Jamie Lee Curtis, 
Ke Huy Quan",8.0
tt9686790,2022.0,R,100 min,Jason Moore,"Jennifer Lopez, 
Josh Duhamel, 
Lenny Kravitz, 
Jennifer Coolidge",5.4
tt12593682,2022.0,R,127 min,David Leitch,"Brad Pitt, 
Joey King, 
Aaron Taylor-Johnson, 
Brian Tyree Henry",7.3
tt1016150,2022.0,R,148 min,Edward Berger,"Felix Kammerer, 
Albrecht Schuch, 
Aaron Hilmer, 
Moritz Klaus",7.8
tt1745960,2022.0,PG-13,130 min,Joseph Kosinski,"Tom Cruise, 
Jennifer Connelly, 
Miles Teller, 
Val Kilmer",8.3
tt1825683,2018.0,PG-13,134 min,Ryan Coogler,"Chadwick Boseman, 
Michael B. Jordan, 
Lupita Nyong'o, 
Danai Gurira",7.3
tt1877830,2022.0,PG-13,176 min,Matt Reeves,"Robert Pattinson, 
Zoë Kravitz, 
Jeffrey Wright, 
Colin Farrell",7.8
tt0499549,2009.0,PG-13,162 min,James Cameron,"Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Michelle Rodriguez",7.9
tt6443346,2022.0,PG-13,125 min,Jaume Collet-Serra,"Dwayne Johnson, 
Aldis Hodge, 
Pierce Brosnan, 
Noah Centineo",6.4
tt8041270,2022.0,PG-13,147 min,Colin Trevorrow,"Chris Pratt, 
Bryce Dallas Howard, 
Laura Dern, 
Sam Neill",5.6
tt1392170,2012.0,PG-13,142 min,Gary Ross,"Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Stanley Tucci",7.2
tt7693316,2022.0,PG-13,139 min,J.D. Dillard,"Jonathan Majors, 
Glen Powell, 
Christina Jackson, 
Thomas Sadoski",6.6
tt11138512,2022.0,R,137 min,Robert Eggers,"Alexander Skarsgård, 
Nicole Kidman, 
Claes Bang, 
Ethan Hawke",7.1
tt1160419,2021.0,PG-13,155 min,Denis Villeneuve,"Timothée Chalamet, 
Rebecca Ferguson, 
Zendaya, 
Oscar Isaac",8.0
tt11291274,2022.0,R,107 min,Tom Gormican,"Nicolas Cage, 
Pedro Pascal, 
Tiffany Haddish, 
Sharon Horgan",7.0
tt8093700,2022.0,PG-13,135 min,Gina Prince-Bythewood,"Viola Davis, 
Thuso Mbedu, 
Lashana Lynch, 
Sheila Atim",6.7
tt8178634,2022.0,Not Rated,187 min,S.S. Rajamouli,"N.T. Rama Rao Jr., 
Ram Charan Teja, 
Ajay Devgn, 
Alia Bhatt",7.9
tt0120737,2001.0,PG-13,178 min,Peter Jackson,"Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean",8.8
tt10648342,2022.0,PG-13,118 min,Taika Waititi,"Chris Hemsworth, 
Natalie Portman, 
Christian Bale, 
Tessa Thompson",6.3
tt0468569,2008.0,PG-13,152 min,Christopher Nolan,"Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine",9.0
tt1375666,2010.0,PG-13,148 min,Christopher Nolan,"Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe",8.8
tt10872600,2021.0,PG-13,148 min,Jon Watts,"Tom Holland, 
Zendaya, 
Benedict Cumberbatch, 
Jacob Batalon",8.2
tt0172495,2000.0,R,155 min,Ridley Scott,"Russell Crowe, 
Joaquin Phoenix, 
Connie Nielsen, 
Oliver Reed",8.5
tt4154796,2019.0,PG-13,181 min,"Anthony Russo, 
Joe Russo","Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth",8.4
tt15600222,2022.0,,130 min,Anirudh Iyer,"Ayushmann Khurrana, 
Jaideep Ahlawat, 
Neeraj Madhav, 
Gautam Joglekar",7.2
tt10298840,2022.0,PG,102 min,"Don Hall, 
Qui Nguyen","Jake Gyllenhaal, 
Jaboukie Young-White, 
Gabrielle Union, 
Dennis Quaid",5.6
tt2911666,2014.0,R,101 min,"Chad Stahelski, 
David Leitch","Keanu Reeves, 
Michael Nyqvist, 
Alfie Allen, 
Willem Dafoe",7.4
tt8367814,2019.0,R,113 min,Guy Ritchie,"Matthew McConaughey, 
Charlie Hunnam, 
Michelle Dockery, 
Jeremy Strong",7.8
tt1856101,2017.0,R,164 min,Denis Villeneuve,"Harrison Ford, 
Ryan Gosling, 
Ana de Armas, 
Dave Bautista",8.0
tt5433138,2021.0,PG-13,143 min,Justin Lin,"Vin Diesel, 
Michelle Rodriguez, 
Jordana Brewster, 
Tyrese Gibson",5.2
