year,runtime,director,star,rating
2022,161,Ryan Coogler,Letitia Wright,6.9
2022,192,James Cameron,Sam Worthington,7.8
2022,139,Dan Kwan,Michelle Yeoh,8.0
2022,100,Jason Moore,Jennifer Lopez,5.4
2022,127,David Leitch,Brad Pitt,7.3
2022,130,Joseph Kosinski,Tom Cruise,8.3
2018,134,Ryan Coogler,Chadwick Boseman,7.3
2022,176,Matt Reeves,Robert Pattinson,7.8
2009,162,James Cameron,Sam Worthington,7.9
2022,125,Jaume Collet-Serra,Dwayne Johnson,6.4
2022,147,Colin Trevorrow,Chris Pratt,5.6
2012,142,Gary Ross,Jennifer Lawrence,7.2
2022,139,J.D. Dillard,Jonathan Majors,6.6
2022,137,Robert Eggers,Alexander Skarsgård,7.1
2021,155,Denis Villeneuve,Timothée Chalamet,8.0
2022,107,Tom Gormican,Nicolas Cage,7.0
2022,135,Gina Prince-Bythewood,Viola Davis,6.7
2022,187,S.S. Rajamouli,N.T. Rama Rao Jr.,7.9
2001,178,Peter Jackson,Elijah Wood,8.8
2022,118,Taika Waititi,Chris Hemsworth,6.3
2008,152,Christopher Nolan,Christian Bale,9.0
2010,148,Christopher Nolan,Leonardo DiCaprio,8.8
2021,148,Jon Watts,Tom Holland,8.2
2000,155,Ridley Scott,Russell Crowe,8.5
2019,181,Anthony Russo,Robert Downey Jr.,8.4
2022,102,Don Hall,Jake Gyllenhaal,5.6
2014,101,Chad Stahelski,Keanu Reeves,7.4
2019,113,Guy Ritchie,Matthew McConaughey,7.8
2017,164,Denis Villeneuve,Harrison Ford,8.0
2021,143,Justin Lin,Vin Diesel,5.2
2022,112,Tommy Wirkola,David Harbour,6.7
2022,95,Brian Goodman,Gerard Butler,5.6
2021,92,Ilya Naishuller,Bob Odenkirk,7.4
2022,122,Anthony Russo,Ryan Gosling,6.5
2010,112,Edgar Wright,Michael Cera,7.5
2001,106,Rob Cohen,Vin Diesel,6.8
2021,163,Cary Joji Fukunaga,Daniel Craig,7.3
2022,116,Ruben Fleischer,Tom Holland,6.3
2020,150,Christopher Nolan,John David Washington,7.3
2021,132,James Gunn,Margot Robbie,7.2
2017,106,Christopher Nolan,Fionn Whitehead,7.8
2017,141,Matthew Vaughn,Taron Egerton,6.7
2015,117,Peyton Reed,Paul Rudd,7.3
2014,113,Doug Liman,Tom Cruise,7.9
2003,201,Peter Jackson,Elijah Wood,9.0
